description,jobflag
"Deployment and management of Windows Server 2008, 2012, 2016",2
"Work with external vendors and technology organizations to identify appropriate external resources such as joint industry projects, research consortia to enhance subsurface capabilities and improve digital capabilities",0
Focus on matching business needs with solutions. Utilize first-hand knowledge of customer requirements and suggestions to influence the future direction and evolution of our solutions.,2
Meet with client staff on a daily basis to understand key issues     with how they operate today and identify opportunities for     improvement in their operations and technology landscape,3
Ensures proper implementation of program and system specifications through close coordination with programmers,2
Support development of configuration management plan to establish procedures and framework for maintaining configuration control,2
Demonstrate self-directed and proactive approach to tackling problems and leveraging resources.,1
Build greenfield ecosystem impacting major financial product,2
Support drawing control systems regarding their quality requirements.,2
Work collaboratively with internal team members on investigating and fixing defects.,2
Supports and participates in technical activity,2
Understand and advance underlying architecture of production systems.,2
Effectively determines and communicates accurate timelines for assigned tasks,2
"Apply and develops data derivations, business transformation rules, and data requirements.",3
"Work within the sales organization to help understand end-user requirements, our value proposition and then accurately prove out our value during a proof-of-concept build.",2
Reporting effectiveness of data analytics systems for business people,0
"Utilize statistical methods to process, clean and validate data for uniformity and accuracy",1
Maintain a focus on delivering products that effectively meet approved requirements within to desired completion schedule,2
"Transfer new technologies, products and manufacturing process into and out of company.",2
"Work effectively and cooperatively with customers, co-workers, vendors, and management to create new ideas for analytical solutions that solve customer business problems.",0
Prepare high-quality technical reports and presentations supporting the findings of the above studies.,3
Work within constraints of Infrastructure Service Provide,2
Support the business and senior leadership by performing ad-hoc analysis and reporting,0
Develop prototype software applications used to integrate software systems through API,2
"Develop and establish model management technology and processes for helping enable MLOps such as: measure on-going accuracy, tooling for data / model drift, etc.",1
"Design, develop, and implement solutions using JavaScript and JavaScript Technologies",2
Contribute to new business proposals and proposal development,3
Present the above to internal and external stakeholders,0
"Construct the Contract Record - identify and collate all original contracts, subsequent amendments, and related documents that represent the full contractual relationship and obligations with specific external entities.",3
"Developing tools for visualization, reporting and algorithm tuning",2
Develop embedded software in support of Carrier HVAC control systems,2
Supports the program design to cost and design for manufacture requirements,2
Follow software development through GPDS (Global Product Development System) milestones assigned to you for a vehicle program,2
"Collaborate closely within an interdisciplinary team composed of scientists, developers, and drug hunters to deliver new research that meet business and product goals",1
Develop applications based on the .Net & python framework with minimal technical supervision.,2
Participate in site validation strategy.,2
"Participate as a knowledge leader for Kaizen, lean manufacturing and other continuous improvement projects.",2
Apply expert software development skills to build intelligent user experiences leveraging machine learning,1
"Design, build, deploy, monitor and support production deployment     of data science solutions",1
Create custom software components (e.g. specialized UDFs) and analytics applications.,2
"Seek out ways to automate and accelerate development of data-driven products, and then implementing them",1
Performs other related duties and projects as business needs require at direction of management.,1
Will be an Excellent team player - self-motivated and committed resource with an ability to work under pressure and to tight deadlines,3
"Consulting with construction superintendents, modernization superintendents, constructors, adjusters and service managers in regard to problems encountered with product performance",2
"Focus on delivering the highest levels of robustness, performance, modularity, and simplicity in a distributed, multi-threaded environment",2
Builds software applications across multiple platforms in response to the needs of stakeholders.,2
"Learn, develop, and apply new techniques in the intersection of math, probability, and optimization",0
Develop the skills of data team through mentorship and training,1
Development of robust diagnostics and fault management,2
"Design and develop service-oriented architecture solutions, constructing and managing services published to both internal and external consumers, integrating with complex database and third party components",2
"Deliver professional level technical work in support of the development of company products, tools, platforms and services, typically for an external customer or end user",2
Holding project meetings and providing project meeting minutes,3
"Have a solid working knowledge of PV modules, inverters, meteorological stations, and trackers",3
"Design, develop, test & deploy our software.",2
Develops automated unit test cases to validate defect-free code,2
Use knowledge of Python for implementing Python based workflow solutions such as Airflow or MLflow,0
Establish and maintain good working relationships with client engagement team personnel,3
Implementing the Scoring Platform's data intensive infrastructure and APIs,1
Analyze client business processes of storing and managing data.,2
Coach on targeted product value propositions,2
"Collaborate within an Agile/Scrum software development process with other software engineers, subject matter experts and stakeholders",2
Manage data analysis to develop fact-based recommendations for innovation projects.,0
Support for daily ERP operations for related business systems and processes,3
Transform Marketing and Sales leads into Opportunities.,2
Redesign processes to capitalize on self-service & systems capabilities.,3
"Interface with customers, suppliers, application users, and other technical and support personnel",2
"Improving the accuracy of our prediction models for transaction outcomes, like whether a payment will be accepted or declined by the card network, or disputed as fraudulent by a cardholder.",1
Investigate new technologies and novel ideas.,2
"Analysis performed by the position will be shared within the company to support the various initiatives underway that have an analytical need which will ultimately impact the company's generation assets, load resources, customer view, and product and services offered to the customer.",0
Mentor other Software Engineers through the software development process and lead them in technical problem solving and troubleshooting,2
Create visualizations for use in analyzing/developing data and to provide and present results to other areas of the company,0
Utilize machine learning models as APIs or software libraries to be integrated into a cloud application,1
"Mentor and train other team members on design techniques, and coding standards.",2
Conduct product and application testing / simulation,2
"Interface with engineering, manufacturing and service colleagues to insure test requirements are specified and implemented correctly.",2
Consult inter-departmentally on new product deployments and incremental improvements,1
"Implementing deep-learning-based classification systems for identifying, characterizing, and classifying specified features",1
Constantly improve code quality and test coverage.,1
Active member of a cross-functional launch team,2
"Contribute to product success through consistent on-time delivery of high quality, functioning firmware code",2
"Technologies will include Git, Jenkins, and related technologies.",2
"Provide compelling, engaging and persuasive fact-based arguments",0
Defining and implementing software prototypes to demonstrate capabilities and burn down risk,2
Creating architectural documents and community-facing tutorials. Working with potential partners in academic/community to generate specifications which consider our open-source projects,1
Analyze functionality requirements and effectively identify and communicate potential performance risks during the course of the project,2
Participate in machine learning brownbag sessions and other forms of collaborative learning to keep abreast of the constant changes in Machine and Deep Learning,1
Identify performance offenders and work with engineers to optimize the platform.,2
The candidate will serve to augment an existing team that is using SAS for analytic applications such as load forecasting.The data scientist will support the growing analytical needs of the company as data collection efforts expand and use cases are identified.,0
Collaborate with the development team through continuous improvement activities,2
Ensure delivery of a high quality product meeting all requirements within the scheduled timeframe,2
"You will collaborate with the best product managers, designers and engineers in the world to create experiences that will change lives.",2
Focus on matching business needs with solutions. Utilize first-hand knowledge of customer requirements and suggestions to influence the future direction and evolution of OnBase solutions.,3
"Enhance the Quality Management System in such areas as Design Review Process, Compliance to Standards, Change Management, Software BOM enhancements, and Device History File (DHF)",2
Identify and communicate best practices for software engineering,2
Monitors and reports on progress in completing engagements and accomplishing goals,3
Prepare and clearly present design proposals to customers.,2
"Decisions, recommendations and results further the achievement of goals critical to organizational objectives",2
Integrate and extract relevant information from large amounts of both structured and unstructured data to enable analytical solutions,0
Autonomously implement new features and perform code maintenance,2
Execute test scripts in dry runs and formal customer test events,2
Conduct all sales and business activities with highest degree of integrity and professionalism,3
Work with customers to understand their security posture and develop use cases to realize their security strategy.,2
Input to development of training and procedural documentation for use of data visualization tools in Data Management.,0
"Conducts exploratory data analysis. Maintains and monitors adherence program reporting. Designs experiments and tests hypotheses. Applies predictive modeling and machine learning techniques to build, maintain and improve on real-time decision-making.",0
Support local and nearshore development efforts,2
"Provide technical leadership, foster a team environment, and provide mentorship and feedback to technical resources.",2
Design and develop production ready code.,1
"Utilize a hypothesis-driven approach, as well as both quantitative and qualitative primary research methods, to engage in analysis and develop soundly reasoned conclusions that identify or explain demographic, social and other trends, underlying needs, and preferences of existing and potential residents, and any other forces impacting the business.",0
Support operational checkout of systems under test and provide training to test and operations personnel,2
Works with system analysts and product management for the successful completion of a project.,2
"Facilitate Agile project planning and execution by running weekly and monthly sprint planning, as well as by tracking cross team dependencies to ensure prompt delivery",2
Stay abreast of emerging machine learning and data science technologies.,0
"Support the operations team with deployment, support and triaging production issues for your code",2
Maintain and support the training environment.,2
"Troubleshoot prototypes during integration and installation, participate in design reviews and document engineering related items.",2
"Designs analytic plans, translating business problems/opportunities into analytic approaches. Engages with project sponsors and stakeholders to understand each business question. Probes for hidden questions and goals. Brings structure to each request and translates requirements into an analytic approach.",0
Analyze and understand data sources & APIs Design and Develop methods to connect & collect data from different data sources.,1
"Provides counsel and advice to top management on significant Infrastructure matters, often requiring coordination between organizations.",3
Embrace LEAN software development principles.,2
"Analyzing, extracting, and optimizing relevant information from     large amounts of data to help drive business decisions on product     features and operational efficiency",1
"Maintain high ethical standards in the performance of service, understand the ethical standards of client and report actual or perceived unethical conduct or behavior.",3
Partner with business to design tableau KPI scorecards & dashboards with business intelligence visualization tools such as Tableau and PowerBI.,0
Contribute to the Wave6 library of assets to support analytic solution delivery,3
"Gather requirements, design, develop and support machine-learning systems. Research and implement appropriate ML algorithms and tools. Design, build, and maintain data pipelines and workflows.",1
"Supporting the development of improved capabilities in clients     across business processes, people and technology",3
Preparation and delivery of field-credible training to customers and channel partners,2
Represent our company as a business consulting expert. Become a trusted advisor by overseeing the technical aspects of Enterprise Performance Management solutions,3
"Investigate and help provide solutions to technical issues, both individually and as a contributing team member",2
Perform internal and support external audits of products and processes,2
Participate in the full software development life-cycle.,2
"Maintain C Space's new suite of primarily SQL based reporting tools (Periscope Data, Tableau, etc.) to support internal and/or client work",0
Apply modeling and run simulations to test alternative solutions.,2
"Developing, improving, and leading modeling for Product and Solution teams in order to complete proof-of-concept case studies for existing and prospective clients.",0
"Help, administer, and enforce policies, procedures, and processes to harmonize contract negotiation and general provisions, with appropriate flexibility to meet customer/market needs and dynamics. Ensure that risk is mitigated and regulations are appropriately addressed consistently across all business offerings",3
Manage complex documentation projects.,2
"Establish scalable, efficient, automated processes to develop, validate, implement, and monitor machine learning models",1
Write test procedures and document test results to ensure all system and derived requirements are met,2
Participate in design discussions about new features and approaches to implementing new services,1
Acquire and maintain deep product knowledge and skills,3
Provid e protection of technologies & products through appropriate use of patents & trade secrets.,1
Strong analytical and problem-solving skills,1
Write scripts and advanced SQL aggregation functions as necessary,0
"Feature Engineering to prepare data sets as available from our acquisition pipeline, ontology and graph to build robust models",0
Creates and supports documentation,2
Provide support to application development staff with deployment and problem resolution of Cognos application.,2
"Astute ability in writing test scripts and applying test driven development in an agile software development environment, where built in automated test procedures are paramount and continuous integration of software and continuous delivery of software to the Government is the culture.",2
Support the definition of embedded software architectures,2
"Assist level 3/4 and lead engineers to develop, modify and maintain mobile applications for various stakeholders such as Members, Providers, and Employer Groups.",2
Daily administration/development of Syteline ERP,3
Provide technical expertise to support teams,2
"May include Architectural Design, Requirements Engineering, or others",2
Deploy predictive models and integrating them into business processes and applications,0
"Performs SQL Server database administration functions, including: configuration and monitoring of database replication, monitoring system performance, and implementing high availability architectures",2
Management of project change requests and scope changes,3
"Perform R&D tasks, including the design of machine learning algorithms, design and implementation of software components/systems, as well as testing and evaluation of software components/systems;",1
"Work with the business stakeholders, operations staff, and on-shore and off-shore development teams to design, document and implement solutions that meet strategic business objectives.",3
Establish best practices for highly scalable and available infrastructure,2
"Position 2: .NET app dev and SQL--moving across whole app CRUD and general configurations, Backend focused",2
Assess / deliver on talent needs for AI/ML success,1
"Build and maintain a scalable multi-stage CI system. The CI system must be able to support a wide range of teams ranging from embedded software team, Windows GUI software team to teams developing software for the cloud and machine learning",2
Develop skills and knowledge by continuing education on topics related to the position responsibilities,3
Maintains accountability for adherence to company and divisional organization policies and procedures.,3
Excellent teamwork and customer focus,0
"Serve as a trusted advisor to clients by leading conversations to understand, interpret, and document analytics business challenges and needs",3
Translating your professional courseware delivery experience into detailed feedback and continuous improvement to the Scaled Agile courseware,3
Conduct security reviews of core corporate and production infrastructure.,2
Investigate new data services and integrate/supplement with existing data services to drive utilization,0
Setup feedback learning loop and fine-tune behavior based on customer interactions.,1
Responding to Request for Information/Proposal documents;,3
"Prepare narratives, briefs, and more formal reports that concisely communicate relevant findings and conclusions in a timely manner, while providing transparency into the methods used. Perform critical self-reviews of work with exceptional attention to detail (content, logic and presentation/communication quality) before delivering completed research.",0
"Architect, design, document and develop new programs or maintain existing programs based on specifications",2
Participate in on-call duties to keep software systems up and running.,2
"Creating, implementing and deploying production level ML algorithms.",1
Work with Product Management and Software Engineering teams on understanding ways to improve the product. Interact with our Site Reliability Engineering (SRE) teams to drive production excellence.,2
Work closely with data scientists to ensure the source data is aggregated and cleansed.,1
"Research, design, implement, and oversee high-end analytical/technology process and solutions with a focus on leveraging advanced machine learning, artificial intelligence and cognitive methods.",0
Preparing and distributing reports,3
Communicates project status and escalates issues as needed.,3
"Adhering to Company policies, procedures, and directives regarding standards of workplace behavior in completing job duties and assignments.",3
Continually offer thought-leadership and dependable execution ability in a high-paced environment characterized by ongoing iteration and product pushes,2
Perform validation remediation as required.,2
Employ a measurement and metrics driven approach to monitoring team productivity and quality of output.,2
"Oversees, plans, executes, and monitors spacecraft maneuvers. Performs maneuver reconstruction, orbit determination, and develops long-term operating strategies. Directs the planning and execution of spacecraft orbital relocation operations, as necessary..",2
"Work on complex problems, where analysis of situations or data requires an in-depth evaluation of various factors.",0
Working directly with the client to communicate information and coordinate our team's efforts with project stakeholders.,3
"Experience in an ERP implementation role with SAP Business One preferred, but not required. (Also beneficial would be implementation experience in SME space with other products such as Microsoft Dynamics, Sage, Epicor, and/or Netsuite);",3
Key team player in driving designs through development phases to product release.,2
"Comprehends concepts of warehouse execution, package delivery, and field service workflows.",2
Investigate data visualization and summarization techniques for conveying key findings related to the applied analytics.,0
"Develop Strategies for Global Payer Recruitment, including specified archetypes, categorization, engagement, and growing our network.",3
Be available on-call to help resolve any critical issues,2
Optimize and refactor code of new and existing applications for maximum performance and scalability.,2
Evaluate and analyze performance,2
"Planning, developing, and applying cutting-edge machine learning systems and statistical modeling to extract insight from vast amounts of data at scale",0
"Recommend measures to improve production methods, equipment performance, and quality of product, if needed",2
Develop internet applications using the Microsoft .NET framework and C#,2
Integration of the frontend and backend aspects of the web application.,2
Work with Hardware and Software vendors to resolve product issues and research products.,3
You will work with your team to create test plans and ensure quality.,2
Develop network and workflow diagrams and manage technical documentation in sales materials.,2
"Lead the planning, management and execution of consulting mandates on sustainable supply chains and agriculture with necessary know-how and skill set to ensure the most efficient and highest quality implementation",3
Writing reusable R and Python code and building R Markdown/Jupyter Notebooks reports,0
Keep abreast of new technologies through formal and/or self-paced professional development and apply technical knowledge in solution delivery.,2
Coordinate and deliver RFP/I/Q responses and technical architecture solutions.,2
"Read mechanical, pneumatic and hydraulic drawings.",2
"Conducts multidisciplinary research and collaborates with equipment designers and/or hardware engineers in the planning, design, development, and utilization of electronic data processing systems for product and commercial software.",2
"Define, document, analyze, perform, and interpret developmental tests for new and/or modified products or product components;",2
Work with the team to maintain system quality,2
Assist in completion of enrollment forms with non-English speaking families.,3
Maintain a prospect development system.,3
Lead and work with ML engineers and data scientists to build smart commerce services & ML applications.,1
Create and maintain strong professional relationships with all ATOM stakeholders,0
Perform analysis and software studies and evaluate alternative and recommend solutions,2
Reports to and takes direction from the Presales Head,3
Design verification and validation of system,2
Train end users on the new reports and dashboards.,2
Supports the business with reviewing submitted requests for the entertainment of third parties.,3
Analyze customer wireless network technical roadmap and propose strategic planning,2
Gain exposure to current technologies such as containerization and cloud,2
"Builds and maintains a robust library of reusable algorithms and supporting code such that research efforts are based on the highest quality data, are transparently conducted, are able to be productionized and are reproducible.",0
Develop software solutions & models leveraging machine learning techniques to extract insights from complicated data sets,1
"Development of avionics models and displays necessary for concept development, testing, and training of Super Hornet and Growler aircraft systems",2
Improving software performance,2
Monitor metrics and develop ways to improve,2
Unlock growth both by understanding how the partner can better leverage our products and services as well as being the voice of the partner to cross-functional teams.,3
Perform requirements development and analysis and allocate using engineering source documents,2
Design and develop dashboards and datasets that address client requirements,3
"Manage large amounts of data despite hardware, software, and bandwidth constraints",0
"Working on problems in the fintech area, including online payments, banking, and other areas",0
"Focus on staying current with clinical trends, and how those trends may be applicable to new or existing products and processes",0
"Coordinating activities including on-time delivery, testing, production moves and follow-up when necessary; working as technical support and liaison to designated IT personnel to provide testing, support and feedback on enhancement requests and regular updates/releases; adhere to release schedules",2
Provide strategic feedback on tooling landscape to help influence product direction.,2
"Foster a culture of sharing, re-use, design for scale stability, and operational efficiency of data and analytical solutions",1
Work on special projects as assigned,2
Participate in software product design and planning.,1
Has good communication skills and can express complex technical concepts in a clear and easy to understand way,1
Ability to initiate and drive projects from conception to completion with minimal guidance.,1
Infrastructure device upgrades or replacements,2
"Code software changes based on design specifications. Proactively resolve issues in specification that will lead to quality, system performance, or architectural issues in product.",1
Help build out an insights ecosystem that serves both needs of internal analysts and external stakeholders,0
Understanding of public exploits and awareness of new/unpublished techniques,2
Combine broad and deep knowledge of relevant research domains with the ability to synthesize a wide range of requirements to make significant contributions to the feature roadmap for the applied machine learning function,1
Perform advanced data analysis,0
"Through these principles, we work as product teams to help deliver a valuable product to our business.",0
Provide application and business consulting services,3
"Gathering, cleaning, processing and analyzing of big, heterogeneous data sources",0
Understand challenges and best practices in the domain and implement best in class solutions.,2
"Derive, fit, and simulate accurate vehicle dynamics models",2
"Code reviews: plan, participate in, and document results.",2
"Be a technical advocate within Google for our technology partners and provide feedback from the partner to Google Chrome OS and Chrome Browser Product, Engineering, and more.",2
Be a leading expert and organizational resource on developing and evaluating advanced analytics.,0
Ensures software standards are met,2
Develop models to assess the relative value of clients and business opportunities in order to facilitate prioritization in customer retention and development efforts.,0
Identifies areas of innovation in data tools and techniques,0
Empathy with developers. Innate desire to create a superlative developer experience down to the last detail.,2
"Creating control documentation, software requirements & implement them into the controllers/vehicles.",2
Configure and maintain Windows Group Policies.,2
Ability to take R&D initiative and deliver tangible results under deadlines.,0
Generate profitable business growth through data-driven insight and innovation.,0
Work on solution performance optimization,1
May be assigned as site / functional extended team member,2
Compare results from various methodologies and recommend best techniques to stake holders,1
"Provide leadership to other members of the team, both onshore and offshore.",3
Definition of test cases and test execution in model-based environment,2
Think pragmatically when introducing new technology.,1
"Act as Subject Matter Expert for sub-contractors, providing guidance for related functions",3
Reviewing software products for soundness of technical judgment and adequacy.,2
Express the business brand image and mission in every interaction with owners and potential owners.,3
Expertly build and operate services within AWS.,1
Support the implementation of company directives and processes to meet internal/external client needs such as retention and satisfaction related to the success of the transactional fulfillment process,3
Active participation in S&V system modeling innovation and integration projects,2
Leveraging the latest machine and deep learning techniques to challenge the current practices across the business units,0
"Evangelize platform capabilties through strategic partnership, rapid prototyping of usecases.",1
Support IQ/OQ/PQ activities involving software based manufacturing and service equipment,2
"Undertake concept-and-feasibility projects related to semiconductor process control using statistical, machine learning, and first-principle modeling methods.",0
Write and revise documentation for process optimization,2
Assist in coding execution engine,1
"You'll use a mixture of supervised and unsupervised techniques to generate and test hypotheses and turning your results into actionable, impactful insights.",0
"Continuously enhance features, functionality, and process to achieve organizational goals.",3
"Lead incident response engagements to guide clients through forensic investigations, run live memory capture, containment of security incidents and guide longer-term remediation recommendations.",3
Develop and leverage automated methods of application performance/scalability testing and datacenter production environment performance analysis,2
Developing embedded software units in an Agile environment with test-driven development (TDD) methodology.,2
Learn our domain of research and clinical applications of flow cytometry.,2
Contributes to the growth of the analytic community.,0
Work on optimizing the performance of the data integration platforms,2
"Works closely with software developers to create software artifacts including test plans, test cases, test procedures and test reports",2
"Maintains network performance by performing network monitoring and analysis, and performance tuning; troubleshooting network problems; escalating problems to vendor.",2
Supporting vehicle systems engineers to integrate the embedded systems into electric vehicle kits.,2
"Develop Proofs of Concept, presentations and demos with a clear plan to take a prospect successfully through the evaluation process and make them satisfied customers.",2
Ensures a high level of internal and external customer service. Provides training on the proper usage and application of elastomeric products for current and potential our customers. Provides product technical support to customer inquiries about product applications. Investigates and corrects customer issues and complaints related to quality.,2
Create or modify user interfaces by leveraging a moderate understanding of user experience design,2
Will not have direct reports but will influence and direct activities of a team related to special initiatives and/or projects.,3
Challenging conventional thinking to enhance credibility and establish differentiation from competitors,3
(Senior) Data Scientist is an integral part of the Data Science Lab that works closely with internal and external clients in all phases of the prototype development.,0
Learn new technologies as required,2
"Integrating with third party TTS, ASR, and bot vendors to expand our customer's choices",2
"Architect, Design and Develop Big Data streaming applications to use high performance and highly available NoSQL Key Value store Redis for check pointing.",2
"Design, develop and implement software solutions for existing signal processing system including:",2
Regulate the administration rights depending on job profile of users.,2
"Guides test design, research design and model validation. Provides statistical consultation services. Serves as the analytics expert on cross functional teams for large strategic initiatives.",0
Provide valuable insights using data-driven analytics to help identify and resolve issues relating to risk and profitability,0
Work with our customers to enhance business processes through the implementation of the IDC products and solutions,3
"Make thoughtful architectural decisions with limited information, translating business requirements into machine learning products",1
Develop infrastructure and tools to productionize new models in a repeatable manner,1
Acts independently and pro-actively seeks to uncover and resolve issues,2
Make presentations to all levels of an organization,3
Providing ongoing training and education of channel partners regarding VRF technology and our advantages,2
Conducts interviews and perform analysis to create business cases for projects.,3
Developing data driven culture in team,0
"Acute business sense, deeply understand the business model, transaction flow, and client environment.",0
"Performs deep dive diagnostic, predictive and prescriptive analytics for customer behavioral segmentation, look-alike targeting, growth opportunity estimation and next best action identification.",0
"Collaborate with sales teams to understand customer requirements and provide sales support, working closely with all the key dealer/SI in the assigned region, build personal trust and relationship with customer",3
"Strong team work is required, as the position demands work and collaboration across several R&D teams. Members",2
Confer with department supervisor to determine progress of work and to provide information on changes affecting efficiency and quality of production,2
Self-motivated and driven to achieve success within a consulting environment;,3
Contributing to developing business rules that enable implementation of strategies via marketing automation tools (ex. Adobe),3
Delivering software demonstrations with sales engineer via web meetings and customer location visits.,2
"Work with project and product managers to achieve on-time, on-cost delivery",2
Data Analyst Works in cross-functional teams with data at all stages of the analysis lifecycle to derive actionable insight.,0
"Participate in efforts to develop and execute testing, training and documentation",2
Design data pipelines to gather and store large quantities of cyber security data,1
"Troubleshoots and resolves end-user problems, ensures correct operation of personal computers, identifies and repairs microcomputer hardware and peripheral components such as monitors, keyboards, printers, an disk drives.",3
Create visualizations to aid in understanding data,0
Build data pipelines that pull data from various sources,1
Developing automotive software solutions for real end embedded users for a wide range of customer projects,2
Assess models; provide proof and explanation for acceptance tests.,0
Design software components using object-oriented design principles,2
Participate in project meetings and design reviews.,3
"Deliver an exceptional shopping experience when assisting shoppers through the ordering process via email, phone, live chat or text.",3
Pro-actively engage in experimentation and innovation to drive relentless improvement e.g. to UX/DQ/DI and reducing technical debt/risk,2
Enhance optimization models based on measurement opportunities,0
Test prototypes and oversee handover to operational teams,1
"Maintains expert knowledge of ICH/GCP Guidelines or other applicable guidance, relevant regulations and company SOPs/processes.",0
"Design, test, and modify data processing algorithms using real and/or surrogate data",0
"Apply mathematical rigor and a highly refined sense of both ""where to look next"" and ""what to do instead"" when performing econometric/statistical analysis for client requirements.",0
"Create algorithms to extract information from large, multiparametric data sets.",0
Prototyping ideas/concepts to prove a solution quickly,1
"Work with stakeholders throughout the organization, leverage company data to drive business results. Visualize, present, and explain data and recommendations to stakeholders.",0
Guide clients using a change control process to minimize project scope creep,3
"Provides continuous training and development opportunities to help employees achieve their career goals, whatever their background or experience.",0
Formulate lunch + learns specific to weekly curriculum,2
"Exploring and visualizing data to gain an understanding of it, then identifying differences in data distribution that could affect",1
"Deliver advisory services to Senior Management and above in     support of technology-enabled business change, e.g.: package &     third-party integrator selection, vendor selection, application     studies, solution architecture studies and/or program diagnostics     and recovery",3
Collaborate with data engineers to optimize the data platform to produce the analysis results in the quickest way possible,0
"Conduct relevant research, data analysis, and create reports",3
Build causal and predictive models utilizing statistical programming languages such as R based on integrated data of various structures from numerous sources stored in a SQL environment.,0
Quickly understands the business issues and data challenges of client's organization and industry,3
"Rather than answering questions directly, guide individuals by asking questions that force them to think through the problem themselves.",2
"Perform quality audits to validate the ICD-10-CM, CPT-4, HCPCS codes, and Risk Adjustment",2
Lead construct of road map for deployment of data science.,0
Assist project manager in subcontractor control,2
Developing a full understanding of all Rave products,2
"Provisions, deploys, and troubleshoots desktop and notebook PCs.",2
"Conceptualize, develop, and implement a wide variety of program designs.Perform software integration",2
Modify existing code to improve performance and functionality.,2
Write Personnel Calculation Rules and Schemas,3
"Perform QA/QC reviews of project work performed by staff engineers, including but not limited to: drawings, specifications, investigations, and technical reports.",2
"Develop and embed automated processes for predictive model validation, deployment, and implementation.",0
"Create user personas, process flows, interactive prototypes, wireframes, site maps, design specifications, and other UX artifacts.",3
"Drive design/implementation collaborating with appropriate Software Development Leadership, Architect(s)/Senior Engineers, Product, UX, and Business.",2
"Helping customers with modeling, solver, data, or other issues",2
"Define functional objectives as well as KPI and quality metrics, identify opportunities, gaps and priorities, and contribute to best practices standards. Stay abreast of emergent applications and positively drive development of RWD and analytic capabilities globally and locally",0
Be a mentor to the junior associates on the team.,1
Generalizing solutions and innovating to create the next generation of product features,0
Work closely with internal engineering teams to ensure that they are meeting the customers needs and be a liaison between Merry and our customers.,2
Communicate and present complex analyses and models to all levels of leadership across the organization.,0
Provide support for Test and Production outages.,2
Prepare technical specifications,2
Understand the environment for how the software is developed while maintaining a system level perspective for delivering end-to-end capabilities that meet operator needs,2
"Work with productowners and development teams to gather and refine requirements, and seedevelopment through to QA, deployment and ongoing maintenance",2
"Develop machine learning, data mining, statistical, and graph-based algorithms designed to analyze massive data sets; partner with Cloud technologists to ensure proper implementation and usage of said algorithms.",0
"Contribute technically to projects through design, coding, code reviews, etc.",2
Presenting and implementing best practices in the AI team,1
"Present data-driven, informed, and results-based conclusions and recommendations to both internal and external leadership, college, department, and/or project teams, for both technical and non-technical audiences.",0
"Create, maintain and execute database queries for backend data verification - Perform log reviews on UNIX and Windows servers",2
Be able to work independently as part of a multi-disciplinary team to support the ATOM consortium scientific and technical goals,0
Effectively resolves problems and roadblocks as they occur.,2
Software/hardware integration and testing,2
"Develop partnerships with internal stakeholders to identify robust and efficient methods to conduct epidemiology and value evidence generation studies using real-world healthcare data and/or clinical trial data (i.e., Indirect treatment comparisons, meta-analysis, Network Meta-Analyses, post hoc analysis of clinical trial data etc.).",0
Is committed to building a workplace where every employee is welcomed and given the support and resources to perform their jobs successfully.,0
Own the development of new software solutions & models leveraging machine learning techniques to extract insights from complicated data sets,1
Work with data-sets of varying degrees of size and complexity including both structured and unstructured data.,0
"Responsible for mechanical engineering assignments as part of Capital Project preparation, execution, and commissioning. Responsible for design support, reliability topics, engineering calculations, engineering studies, inspections, and identifying solutions as part of capital improvements.",2
Is able to evangelize proper software development practices throughout the team,1
Collaborate with cross-functional teams to solve complex problems.,2
Managing sales opportunity progress through Salesforce and submitting accurate orders in a timely manner,3
Extend existing ML libraries and frameworks,1
"Collaborate with fellow team members on priorities, specifications, and feature implementation",2
Investigate for trend/challenge in data mining and machine learning area,0
"Identify and leverage opportunities to continually improve data quality, systems, processes, and standards.",0
"Manages company network dev test environment, response for OS and application validation",2
Manage and support the organization's cloud-based data and computing platforms and infrastructure for AI applications,1
"Deliver presentations to internal clients and researcher team mates that communicate a logical, compelling and cohesive stories using data",0
Collaborate and brainstorm with business teams to understand objectives and create a modelling agenda to support and realize strategic business objectives.,0
"Team Building: Develops and implements strategies to attract and maintain a highly skilled and engaged workforce by diagnosing capability gaps; recruiting, selecting, and developing talent; supporting mentorship, workforce development, and succession planning; and leveraging the capabilities of talent.",3
designing and prototyping algorithms on industrial data,0
"Acquires new business by prospecting for new customers in the area (via telephone calls, door-to-door, emails, letters, social media and networking)",3
"Develop battery level FMEA with comprehensive understanding of the failure modes severity, occurrence, and aircraft impact.",2
Independently convert business management questions into analyzable problems with solutions.,0
"Technical: We need someone who has a strong foundational knowledge of software engineering and familiarity with various technologies such as PHP, Python, Node.js, .NET, React and JavaScript. Build Software with API first approach. Practical experience in delivering software and services leveraging cloud infrastructure such as AWS.",2
